order_id,status,product_category
94921,Shipped,Clothing Sets
50015,Complete,Clothing Sets
65128,Returned,Clothing Sets
74635,Processing,Clothing Sets
124469,Complete,Clothing Sets
97237,Processing,Clothing Sets
103492,Returned,Clothing Sets
19832,Processing,Clothing Sets
64285,Processing,Clothing Sets
95740,Processing,Clothing Sets
114417,Processing,Clothing Sets
43088,Shipped,Clothing Sets
44193,Shipped,Clothing Sets
34059,Complete,Clothing Sets
110081,Complete,Clothing Sets
113028,Complete,Clothing Sets
48775,Returned,Clothing Sets
34349,Processing,Clothing Sets
29388,Shipped,Clothing Sets
37743,Shipped,Clothing Sets
93924,Returned,Clothing Sets
64678,Processing,Clothing Sets
83222,Processing,Clothing Sets
31006,Shipped,Clothing Sets
57203,Complete,Clothing Sets
31086,Processing,Clothing Sets
118592,Processing,Clothing Sets
117933,Shipped,Clothing Sets
22473,Complete,Clothing Sets
65270,Cancelled,Clothing Sets
121958,Processing,Clothing Sets
7413,Shipped,Clothing Sets
80868,Complete,Clothing Sets
96894,Complete,Clothing Sets
51155,Returned,Clothing Sets
98122,Shipped,Clothing Sets
45330,Shipped,Clothing Sets
3439,Complete,Clothing Sets
27403,Complete,Clothing Sets
91286,Cancelled,Clothing Sets
65059,Shipped,Clothing Sets
121615,Complete,Clothing Sets
82629,Returned,Clothing Sets
65800,Processing,Clothing Sets
60903,Shipped,Clothing Sets
78567,Processing,Clothing Sets
11380,Shipped,Clothing Sets
87626,Shipped,Clothing Sets
65862,Returned,Clothing Sets
8204,Cancelled,Clothing Sets
79303,Shipped,Clothing Sets
282,Processing,Clothing Sets
77456,Processing,Clothing Sets
67985,Processing,Clothing Sets
84324,Processing,Clothing Sets
23817,Shipped,Clothing Sets
110644,Complete,Clothing Sets
34377,Cancelled,Clothing Sets
39991,Processing,Clothing Sets
87186,Shipped,Clothing Sets
107740,Returned,Clothing Sets
79690,Complete,Clothing Sets
111706,Complete,Clothing Sets
7871,Cancelled,Clothing Sets
25633,Cancelled,Clothing Sets
20928,Processing,Clothing Sets
77144,Processing,Clothing Sets
81414,Processing,Clothing Sets
99586,Complete,Clothing Sets
37224,Processing,Clothing Sets
65011,Shipped,Clothing Sets
70450,Shipped,Clothing Sets
87607,Complete,Clothing Sets
73549,Processing,Clothing Sets
19681,Shipped,Clothing Sets
29012,Shipped,Clothing Sets
39515,Complete,Clothing Sets
56184,Returned,Clothing Sets
58731,Returned,Clothing Sets
27162,Cancelled,Clothing Sets
52540,Processing,Clothing Sets
34687,Returned,Clothing Sets
22528,Shipped,Clothing Sets
73108,Shipped,Clothing Sets
62284,Cancelled,Clothing Sets
86048,Shipped,Clothing Sets
747,Complete,Clothing Sets
25386,Returned,Clothing Sets
110441,Returned,Clothing Sets
37859,Cancelled,Clothing Sets
1095,Processing,Clothing Sets
21429,Processing,Clothing Sets
92379,Shipped,Clothing Sets
20559,Complete,Clothing Sets
37551,Cancelled,Clothing Sets
113141,Cancelled,Clothing Sets
107889,Shipped,Clothing Sets
25857,Processing,Clothing Sets
28157,Processing,Clothing Sets
9110,Complete,Clothing Sets
55993,Complete,Clothing Sets
20556,Shipped,Clothing Sets
112697,Shipped,Clothing Sets
59704,Returned,Clothing Sets
4331,Processing,Clothing Sets
50213,Processing,Clothing Sets
115988,Processing,Clothing Sets
1979,Shipped,Clothing Sets
71141,Processing,Clothing Sets
94784,Processing,Clothing Sets
31023,Shipped,Plus
40821,Shipped,Plus
15424,Complete,Plus
95566,Complete,Plus
122206,Complete,Plus
59748,Returned,Plus
89266,Returned,Plus
65449,Cancelled,Plus
100474,Cancelled,Plus
3364,Processing,Plus
26368,Shipped,Plus
39289,Shipped,Plus
57862,Shipped,Plus
38841,Complete,Plus
40348,Complete,Plus
58388,Returned,Plus
113294,Returned,Plus
20921,Returned,Plus
2711,Shipped,Plus
27022,Shipped,Plus
48000,Shipped,Plus
71911,Shipped,Plus
23047,Complete,Plus
41964,Complete,Plus
46983,Complete,Plus
59879,Complete,Plus
63822,Cancelled,Plus
76560,Cancelled,Plus
49872,Processing,Plus
68768,Processing,Plus
80813,Processing,Plus
91835,Processing,Plus
118553,Processing,Plus
88434,Shipped,Plus
89272,Shipped,Plus
66562,Complete,Plus
74015,Complete,Plus
75939,Complete,Plus
17197,Returned,Plus
3612,Processing,Plus
27357,Processing,Plus
41118,Processing,Plus
84051,Processing,Plus
37590,Complete,Plus
17029,Shipped,Plus
30620,Shipped,Plus
35746,Shipped,Plus
18592,Returned,Plus
36101,Cancelled,Plus
94589,Processing,Plus
21586,Complete,Plus
31153,Cancelled,Plus
92245,Cancelled,Plus
13531,Processing,Plus
1270,Shipped,Plus
21083,Shipped,Plus
36158,Shipped,Plus
